The World Map of Happiness - http://www.le.ac.uk/pc/aw57/world/sample.html

This is an interactive map - double click on a country to view in more detail.

Key: Red = High Levels of Happiness

Use of this map is subject to the credit line: Adrian White, Analytic Social Psychologist, University of Leicester.

A high resolution image for downloading in .eps format is available by clicking here: .eps Download .  Please feel free to download this map for publication, but use of the map is subject to the credit line: Adrian White, Analytic Social Psychologist, University of Leicester.

To download a .bmp version click here : .bpm Download

To download a .pdf version click here :  .pdf Download

To download an .fh11 version click here :  .fh11 Download

1.    This is the first map to illustrate international differences in happiness.

2.    UK comes 41st out of 178 countries.

3.     UK doing better than most of our similar neighbours and competitors (France 62nd, Italy 50th, Spain 46th, Japan 90th, Chine 82nd, India 125th).  However other counties did do better (Germany 35th, USA 23rd, Ireland 11th).  A full copy of the league table is published below.

4.     Health is more important than wealth or education.  Further analysis was performed to examine the links between satisfaction with life and measures of life expectancy (health), wealth (GDP per capita) and education (access to secondary level education).It was found that satisfaction with life correlated most closely with health (a correlation of .62), followed by wealth (.52) and then education (.51).  (All pearson's r correlations were significant at the p<.001 level)

5.    The map is based on an analysis of the results from over 100 studies.  It uses data published by by UNESCO, the CIA, the New Economics Foundation, the WHO, the Veenhoven Database, the Latinbarometer, the Afrobarometer, and the UNHDR.

6.    The map is being published in a psychology journal in September, and will be presented at a Psychology conference later in the year. 

 

Quotes

Adrian White said “The concept of happiness, or satisfaction with life, is currently a major area of research in economics and psychology, most closely associated with new developments in positive psychology.  It has also become a feature in the current political discourse in the UK.” 

"There is increasing political interest in using measures of happiness as a national indicator in conjuntion with measures of wealth.  A recent BBC survey found that 81% of the population think the Government should focus on making us happier rather than wealthier."
“It is worth remembering that the UK is doing relatively well in this area, coming 41st out of 178 nations”.
 
"Further analysis showed that a nation's level of happiness was most closely associated with health levels (correlation of .62), followed by wealth (.52), and then provision of education (.51)."
 
"The three predictor variables of health, wealth and education were also very closely associated with each other, illustrating the interdependence of these factors."

“There is a belief that capitalism leads to unhappy people.  However, when people are asked if they are happy with their lives, people in countries with good healthcare, a higher GDP per captia, and access to education were much more likely to report being happy.”
“The frustrations of modern life, and the anxieties of the age, seem to be much less significant compared to the health, financial and educational needs in other parts of the World.  The current concern with happiness levels in the UK may well be a case of the 'worried well'."

 

World Happiness League Table

SWL Ranking is each country's position in the international ranking of happiness
Country 	SWL Ranking (1) 	SWL Index (2) 	Life Expectancy (3) 	GDP per capita (4) 	Access to education score (5)
Albania                        	157 	153.33 	73.8 	4.9 	75.8
Algeria                        	134 	173.33 	71.1 	7.2 	66.9
Angola                         	149 	160 	40.8 	3.2 	NaN
Antigua And Barbuda            	16 	246.67 	73.9 	11 	NaN
Argentina                      	56 	226.67 	74.5 	13.1 	93.7
Armenia                        	172 	123.33 	71.5 	4.5 	NaN
Australia                      	26 	243.33 	80.3 	31.9 	NaN
Austria                        	3 	260 	79 	32.7 	99.1
Azerbaijan                     	144 	163.33 	66.9 	4.8 	80.2
Bahamas                        	5 	256.67 	69.7 	20.2 	NaN
Bahrain                        	33 	240 	74.3 	23 	102
Bangladesh                     	104 	190 	62.8 	2.1 	53.7
Barbados                       	27 	243.33 	75 	17 	101.1
Belarus                        	170 	133.33 	68.1 	6.9 	94.2
Belgium                        	28 	243.33 	78.9 	31.4 	145.4
Belize                         	48 	230 	71.9 	6.8 	71.6
Benin                          	122 	180 	54 	1.1 	21.8
Bhutan                         	8 	253.33 	62.9 	1.4 	NaN
Bolivia                        	117 	183.33 	64.1 	2.9 	NaN
Bosnia & Herze                 	137 	170 	74.2 	6.8 	NaN
Botswana                       	123 	180 	36.3 	10.5 	81.8
Brazil                         	81 	210 	70.5 	8.4 	103.2
Brunei Darussalam              	9 	253.33 	76.4 	23.6 	NaN
Bulgaria                       	164 	143.33 	72.2 	9.6 	92
Burkina Faso                   	152 	156.67 	47.5 	1.3 	10
Burma                          	130 	176.67 	60.2 	1.7 	NaN
Burundi                        	178 	100 	43.6 	0.7 	NaN
Cambodia                       	110 	186.67 	56.2 	2.2 	17.3
Cameroon                       	138 	170 	45.8 	2.4 	NaN
Canada                         	10 	253.33 	80 	34 	102.6
Cape Verdi                     	100 	193.33 	70.4 	6.2 	NaN
Central African Republic       	145 	163.33 	39.3 	1.1 	NaN
Chad                           	159 	150 	43.6 	1.5 	11.5
Chile                          	71 	216.67 	77.9 	11.3 	87.5
China                          	82 	210 	71.6 	6.8 	62.8
Columbia                        	34 	240 	72.4 	7.9 	70.9
Comoros                        	97 	196.67 	63.2 	0.6 	NaN
Congo Democratic               	176 	110 	43.1 	0.7 	18.4
Congo Republic                 	105 	190 	52 	1.3 	NaN
Costa Rica                     	13 	250 	78.2 	11.1 	50.9
Croatia                        	98 	196.67 	75 	11.6 	NaN
Cuba                           	83 	210 	77.3 	3.5 	NaN
Cyprus                         	49 	230 	78.6 	7.14 	NaN
Czech Republic                 	77 	213.33 	75.6 	19.5 	87.9
Denmark                        	1 	273.33 	77.2 	34.6 	NaN
Dijbouti                       	150 	160 	52.8 	1.3 	14.7
Dominica                       	29 	243.33 	75.6 	5.5 	NaN
Dominican Republic             	42 	233.33 	67.2 	7 	NaN
Ecuador                        	111 	186.67 	74.3 	4.3 	56.7
Egypt                          	151 	160 	69.8 	3.9 	NaN
El Salvador                    	61 	220 	70.9 	4.7 	49.8
Equitorial Guinea              	135 	173.33 	43.3 	50.2 	NaN
Eritrea                        	162 	146.67 	53.8 	1 	28.2
Estonia                        	139 	170 	71.3 	16.7 	107
Ethiopia                       	153 	156.67 	47.6 	0.9 	5.2
Fiji                           	57 	223.33 	67.8 	6 	NaN
Finland                        	6 	256.67 	78.5 	30.9 	124.5
France                         	62 	220 	79.5 	29.9 	108.7
Gabon                          	88 	206.67 	54.5 	6.8 	54.4
Gambia                         	106 	190 	55.7 	1.9 	27
Georgia                        	169 	136.67 	70.5 	3.3 	77.7
Germany                        	35 	240 	78.7 	30.4 	99
Ghana                          	89 	206.67 	56.8 	2.5 	37.3
Greece                         	84 	210 	78.3 	22.2 	94.6
Grenada                        	72 	216.67 	65.3 	5 	NaN
Guatemala                      	43 	233.33 	67.3 	4.7 	32.7
Guinea                         	140 	170 	53.7 	2 	NaN
Guinea-Bissau                  	124 	180 	44.7 	0.8 	20.4
Guyana                         	36 	240 	63.1 	4.6 	81
Haiti                          	118 	183.33 	51.6 	1.7 	NaN
Honduras                       	37 	240 	67.8 	2.9 	NaN
Hong Kong                      	63 	220 	81.6 	32.9 	NaN
Hungary                        	107 	190 	72.7 	16.3 	98.6
Iceland                        	4 	260 	80.7 	35.6 	108.8
India                          	125 	180 	63.3 	3.3 	49.9
Indonesia                      	64 	220 	66.8 	3.6 	NaN
Iran                           	96 	200 	70.4 	8.3 	80
Ireland                        	11 	253.33 	77.7 	41 	123.1
Israel                         	58 	223.33 	79.7 	24.6 	93
Italy                          	50 	230 	80.1 	29.2 	92.8
Ivory Coast                    	160 	150 	45.9 	1.6 	21.7
Jamaica                        	44 	233.33 	70.8 	4.4 	83.6
Japan                          	90 	206.67 	82 	31.5 	102.1
Jordan                         	141 	170 	71.3 	4.7 	87.7
Kazakhstan                     	101 	193.33 	63.2 	8.2 	87
Kenya                          	112 	186.67 	47.2 	1.1 	NaN
Kuwait                         	38 	240 	76.9 	19.2 	55.6
Kyrgyzstan                     	65 	220 	66.8 	2.1 	83
Laos                           	126 	180 	54.7 	1.9 	35.6
Latvia                         	154 	156.67 	71.6 	13.2 	88.9
Lebanon                        	113 	186.67 	72 	6.2 	78.2
Lesotho                        	165 	143.33 	36.3 	2.5 	28
